"name","email","address","phoneNo","likesHaggis"
"Elizabeth Hayes","elizabethhayes@googlemail.com","32, Man Street, Leeds, LS1 2EE","01200438656","No"
"Stephen McGregor","stephenmcgregor@helloworld.com","Grand Arcade, Lisington lane, London, W1 6TY","01792600696","No"
"Susan Barry","susanbarry@aol.com","32, Man Street, Leeds, LS1 2EE","01506600192","No"
"Andrew Hayes","andrewhayes@aol.com","44, Anfield road, Liverpool, L12 7TY","01202878099","No"
"Mary Norman","marynorman@gmail.com","22, Glendale Road, stirling FK11 5TY","01389555917","No"
"Jennifer Anderson","jenniferanderson@gmail.com","98 Edinburgh Road, Livingston, EH54 3RE","01389559015","Yes"
"Lisa James","lisajames@hotmail.com","22, Glendale Road, stirling FK11 5TY","01952336690","Yes"
"Daniel Anderson","danielanderson@googlemail.com","22, Glendale Road, stirling FK11 5TY","0151263627","No"
"Raymond McGregor","raymondmcgregor@aol.com","Grand Arcade, Lisington lane, London, W1 6TY","0161659496","No"
"Kimberly Martin","kimberlymartin@outlook.com","10, Pinetree Avenue, Lenzie, G66 7YU","01865883833","Yes"
"Richard Montgomery","richardmontgomery@example.com","10, Pinetree Avenue, Lenzie, G66 7YU","0151119725","Yes"
"Bernard Weir","bernardweir@hotmail.com","150, Inglewood Avenue, Bradford,BD45 3RE","0151448901","Yes"
"Thomas Brown","thomasbrown@example.com","64, Busy Street, London, W2 3RT","01234489458","Yes"
"Ashley Baxter","ashleybaxter@live.com","Grand Arcade, Lisington lane, London, W1 6TY","0141993191","No"
"Stephen Barry","stephenbarry@helloworld.com","44, Anfield road, Liverpool, L12 7TY","0115160261","Yes"
"Margaret James","margaretjames@hotmail.co.uk","10, Pinetree Avenue, Lenzie, G66 7YU","01506351068","Yes"
"Carol Martin","carolmartin@gmail.com","22, Glendale Road, stirling FK11 5TY","01526407641","No"
"Nancy Owen","nancyowen@hotmail.com","32, Man Street, Leeds, LS1 2EE","01952307462","No"
"Joseph Lescott","josephlescott@hotmail.co.uk","150, Inglewood Avenue, Bradford,BD45 3RE","01506883154","Yes"
"Jessica Norman","jessicanorman@googlemail.com","123 Fake Lane, Fakeland, G12 3RE","01506875609","No"
"Michael Brown","michaelbrown@helloworld.com","44, Anfield road, Liverpool, L12 7TY","01702212220","Yes"
"Donna Smith","donnasmith@live.co.uk","123 Fake Lane, Fakeland, G12 3RE","01506385487","No"
"Susan Lescott","susanlescott@helloworld.com","64, Busy Street, London, W2 3RT","02056725588","No"
"Barbara Jenkins","barbarajenkins@googlemail.com","32, Man Street, Leeds, LS1 2EE","0161417063","Yes"
"Kenneth Brown","kennethbrown@live.com","98 Edinburgh Road, Livingston, EH54 3RE","01865459706","No"
"Stephen Norman","stephennorman@outlook.com","32, Man Street, Leeds, LS1 2EE","01528341544","No"
"Sarah Montgomery","sarahmontgomery@googlemail.com","1, Glasgow Road, Edinburgh, EH56 4RE","0117107521","No"
"Mary Martin","marymartin@helloworld.com","123 Fake Lane, Fakeland, G12 3RE","01526368715","No"
"Emily Smith","emilysmith@googlemail.com","123 Fake Lane, Fakeland, G12 3RE","01506326704","No"
"Matthew Anderson","matthewanderson@live.co.uk","64, Busy Street, London, W2 3RT","0116300879","No"
"Emily Owen","emilyowen@hotmail.co.uk","Grand Arcade, Lisington lane, London, W1 6TY","0115813547","No"
"Donald Brown","donaldbrown@live.com","123 Fake Lane, Fakeland, G12 3RE","01952289392","Yes"
"Kimberly McGregor","kimberlymcgregor@helloworld.com","150, Inglewood Avenue, Bradford,BD45 3RE","01528381303","No"
"Kimberly Martin","kimberlymartin@hotmail.co.uk","1, Glasgow Road, Edinburgh, EH56 4RE","0141736287","No"
"Paul Murray","paulmurray@hotmail.com","22, Glendale Road, stirling FK11 5TY","01234161597","Yes"
"Mark Hayes","markhayes@example.com","22, Glendale Road, stirling FK11 5TY","0116282787","No"
"Andrew Hayes","andrewhayes@hotmail.com","22, Glendale Road, stirling FK11 5TY","0161971840","Yes"
"Donald Hayes","donaldhayes@googlemail.com","10, Pinetree Avenue, Lenzie, G66 7YU","0117206932","No"
"Mark Weir","markweir@aol.com","123 Fake Lane, Fakeland, G12 3RE","01952768354","Yes"
"Charles Barry","charlesbarry@hotmail.com","22, Glendale Road, stirling FK11 5TY","01202785018","No"
"Charles Baxter","charlesbaxter@example.com","Grand Arcade, Lisington lane, London, W1 6TY","01528188440","Yes"
"Richard Lescott","richardlescott@hotmail.co.uk","44, Anfield road, Liverpool, L12 7TY","01234578820","Yes"
"Martin Murray","martinmurray@aol.com","1, Glasgow Road, Edinburgh, EH56 4RE","01872280847","No"
"Jessica Baxter","jessicabaxter@hotmail.com","64, Busy Street, London, W2 3RT","01389489724","Yes"
"Joseph Baxter","josephbaxter@aol.com","Grand Arcade, Lisington lane, London, W1 6TY","0114815195","No"
"Dorothy Norman","dorothynorman@helloworld.com","44, Anfield road, Liverpool, L12 7TY","01200168619","Yes"
"Bobby Hayes","bobbyhayes@outlook.com","10, Pinetree Avenue, Lenzie, G66 7YU","01952461817","Yes"
"Susan Brown","susanbrown@live.co.uk","98 Edinburgh Road, Livingston, EH54 3RE","02049487606","No"
"Kimberly Lescott","kimberlylescott@hotmail.co.uk","64, Busy Street, London, W2 3RT","0115449460","No"
"Thomas Brown","thomasbrown@aol.com","150, Inglewood Avenue, Bradford,BD45 3RE","01702589118","Yes"
"Carol Norman","carolnorman@aol.com","123 Fake Lane, Fakeland, G12 3RE","0116886946","No"
"Mary Owen","maryowen@helloworld.com","123 Fake Lane, Fakeland, G12 3RE","01872165154","No"
"Linda Barry","lindabarry@hotmail.co.uk","32, Man Street, Leeds, LS1 2EE","01702767311","Yes"
"Christopher Baxter","christopherbaxter@hotmail.com","Grand Arcade, Lisington lane, London, W1 6TY","01200844222","Yes"
"Christopher Anderson","christopheranderson@helloworld.com","150, Inglewood Avenue, Bradford,BD45 3RE","0141910074","Yes"
"Bernard Murray","bernardmurray@helloworld.com","10, Pinetree Avenue, Lenzie, G66 7YU","01526340186","No"
"Ashley Montgomery","ashleymontgomery@live.com","32, Man Street, Leeds, LS1 2EE","01200361528","Yes"
"Charles Owen","charlesowen@outlook.com","64, Busy Street, London, W2 3RT","01792379235","Yes"
"Karen Montgomery","karenmontgomery@aol.com","1, Glasgow Road, Edinburgh, EH56 4RE","01528965109","Yes"
"Michelle Owen","michelleowen@outlook.com","Grand Arcade, Lisington lane, London, W1 6TY","01702420146","Yes"
"Stephen Anderson","stephenanderson@example.com","Grand Arcade, Lisington lane, London, W1 6TY","01389577846","No"
"Michael Barry","michaelbarry@live.co.uk","64, Busy Street, London, W2 3RT","0116396591","No"
"Margaret Anderson","margaretanderson@live.co.uk","64, Busy Street, London, W2 3RT","01792484022","No"
"James James","jamesjames@helloworld.com","150, Inglewood Avenue, Bradford,BD45 3RE","01865298611","Yes"
"Thomas Murray","thomasmurray@outlook.com","10, Pinetree Avenue, Lenzie, G66 7YU","01872576609","Yes"
"Paul McGregor","paulmcgregor@hotmail.com","10, Pinetree Avenue, Lenzie, G66 7YU","02031160321","No"
"Ashley Martin","ashleymartin@gmail.com","123 Fake Lane, Fakeland, G12 3RE","01526375836","No"
"Jessica Murray","jessicamurray@aol.com","22, Glendale Road, stirling FK11 5TY","02077129012","No"
"Lisa Barry","lisabarry@gmail.com","150, Inglewood Avenue, Bradford,BD45 3RE","02075967532","Yes"
"Nancy Hayes","nancyhayes@hotmail.co.uk","150, Inglewood Avenue, Bradford,BD45 3RE","01872309733","Yes"
"Joshua Anderson","joshuaanderson@googlemail.com","10, Pinetree Avenue, Lenzie, G66 7YU","01200181773","Yes"
"Steven Weir","stevenweir@live.com","10, Pinetree Avenue, Lenzie, G66 7YU","0115888152","Yes"
"Karen Anderson","karenanderson@aol.com","1, Glasgow Road, Edinburgh, EH56 4RE","02025529263","No"
"Kimberly McGregor","kimberlymcgregor@live.com","1, Glasgow Road, Edinburgh, EH56 4RE","01202581913","Yes"
"Kenneth Hayes","kennethhayes@live.com","123 Fake Lane, Fakeland, G12 3RE","01526807987","No"
"Betty Barry","bettybarry@aol.com","Grand Arcade, Lisington lane, London, W1 6TY","01526376744","No"
"Mark Murray","markmurray@live.co.uk","32, Man Street, Leeds, LS1 2EE","01865617526","No"
"Michelle Brown","michellebrown@hotmail.com","22, Glendale Road, stirling FK11 5TY","0114817160","No"
"Anthony James","anthonyjames@example.com","98 Edinburgh Road, Livingston, EH54 3RE","0151566039","Yes"
"Margaret James","margaretjames@live.com","22, Glendale Road, stirling FK11 5TY","02097606325","Yes"
"Mark Jenkins","markjenkins@googlemail.com","44, Anfield road, Liverpool, L12 7TY","01792799860","No"
"Matthew James","matthewjames@example.com","44, Anfield road, Liverpool, L12 7TY","0113679836","No"
"Michael Norman","michaelnorman@live.co.uk","10, Pinetree Avenue, Lenzie, G66 7YU","0114501431","Yes"
"Sarah Barry","sarahbarry@hotmail.co.uk","1, Glasgow Road, Edinburgh, EH56 4RE","01389867267","No"
"Joseph McGregor","josephmcgregor@helloworld.com","Grand Arcade, Lisington lane, London, W1 6TY","0141916908","Yes"
"Margaret Jenkins","margaretjenkins@gmail.com","32, Man Street, Leeds, LS1 2EE","01865577867","Yes"
"Dorothy Jenkins","dorothyjenkins@helloworld.com","1, Glasgow Road, Edinburgh, EH56 4RE","01202167872","No"
"John Baxter","johnbaxter@live.co.uk","44, Anfield road, Liverpool, L12 7TY","01200228368","Yes"
"Christopher James","christopherjames@live.co.uk","44, Anfield road, Liverpool, L12 7TY","0113950757","No"
"Linda Barry","lindabarry@live.com","44, Anfield road, Liverpool, L12 7TY","0141355757","No"
"Mark Brown","markbrown@googlemail.com","22, Glendale Road, stirling FK11 5TY","0161505275","Yes"
"Matthew Jenkins","matthewjenkins@googlemail.com","150, Inglewood Avenue, Bradford,BD45 3RE","01792631094","No"
"Oscar Weir","oscarweir@gmail.com","123 Fake Lane, Fakeland, G12 3RE","01389483040","No"
"Richard Barry","richardbarry@googlemail.com","64, Busy Street, London, W2 3RT","0113238129","No"
"Bobby James","bobbyjames@gmail.com","123 Fake Lane, Fakeland, G12 3RE","0114763658","Yes"
"Michelle Lescott","michellelescott@googlemail.com","123 Fake Lane, Fakeland, G12 3RE","01506344561","Yes"
"Robert Jenkins","robertjenkins@aol.com","44, Anfield road, Liverpool, L12 7TY","0141442025","No"
"James McGregor","jamesmcgregor@live.com","22, Glendale Road, stirling FK11 5TY","0115841711","No"
"Susan Montgomery","susanmontgomery@hotmail.co.uk","32, Man Street, Leeds, LS1 2EE","01865389336","Yes"
"David Lescott","davidlescott@hotmail.co.uk","Grand Arcade, Lisington lane, London, W1 6TY","01526464548","No"
"Matthew Owen","matthewowen@helloworld.com","150, Inglewood Avenue, Bradford,BD45 3RE","01234690212","Yes"
"Emily Brown","emilybrown@hotmail.com","1, Glasgow Road, Edinburgh, EH56 4RE","0114149771","Yes"
"Joseph James","josephjames@googlemail.com","44, Anfield road, Liverpool, L12 7TY","0116197246","No"
